"title","company","description","stipend","requirements","contact_method","label"
"Content Writing Intern","Nykaa","Join our Operations team as a Content Writing Intern. During this 4-month internship, you will design, develop, and test features for our analytics platform. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹10,000/month","Graduate or postgraduate in Computer Science. Experience with C++ preferred. Ability to work in a team and meet deadlines.","University placement portal","0"
"Database Administrator Intern","Intel India","We have an opening for a Database Administrator Intern in our R&D division. You will work on cutting-edge autonomous systems projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Kubernetes and GraphQL required.","₹9,000/month","Graduate or postgraduate in Mathematics. Experience with Kubernetes preferred. Ability to work in a team and meet deadlines.","talent@company.com","0"
"Online Reselling Business Intern","QuickHire Consultancy","Exciting MLM business internship! Invest ₹1,999 and start earning through our multi-level referral program. Top earners make ₹75,000/month. Be your own boss!","₹75,000/month","Freshers only","Personal Gmail","1"
"Data Science Intern","Zoho","As a Data Science Intern, you will analyze business data using Django and Angular, create dashboards, and present findings to the management team. This is a 3-month internship with exposure to real-world business problems.","₹5,000/month","B.Tech/M.Tech student in Artificial Intelligence with knowledge of Django, Angular, and Vue.js. CGPA 7.0 or above preferred.","Company official website","0"
"Simple Form Filling Job","DigiWork India","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹30,000/month credited directly to your account.","₹30,000/month","Must have UPI or bank account","Facebook Messenger","1"
"Online Reselling Business Intern","ZenithPlacement Services","We are a leading company looking for interns. Good pay of ₹75,000/month. Easy work. Apply now by sending ₹999 to our UPI. We will contact you with details after payment.","₹75,000/month","Freshers only","Send DM on Instagram","1"
"Product Management Intern","Ola","We are seeking a Product Management Intern for a 4-month internship in our Ahmedabad office. You will assist in social media analytics, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹20,000/month","Engineering student with knowledge of GraphQL, PyTorch. Available for full-time internship of 3-6 months.","recruitment@company.com","0"
"Marketing Analytics Intern","Mahindra & Mahindra","Join us as a Marketing Analytics Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on fraud detection. Proficiency in Flask and MongoDB is essential. Duration: 3 months.","₹16,000/month","Currently pursuing B.Tech/B.E. in Design. Proficiency in Flask and MongoDB. Good problem-solving skills.","careers@company.com","0"
"Work From Home – Typing Job","ZenithPlacement Services","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹50,000/month. Small fee of ₹3,000 for registration. Hurry, spots filling fast!","₹50,000/month","Anyone can apply","Telegram group","1"
"Mobile App Developer Intern","KPMG India","Seeking a Mobile App Developer Intern for a 2-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Angular and Linux in a fast-paced environment.","₹7,000/month","B.Sc/M.Sc in Artificial Intelligence. Research experience in Angular is preferred. Strong written and verbal communication.","Apply via company careers portal","0"
"Online Ad Posting Intern","BrightFuture Placements","Great opportunity for students! Earn ₹50,000/month. Work is simple and can be done on mobile phone. Pay ₹199 to join. We have placed 10000+ students in top companies.","₹50,000/month","No qualification required","Send DM on Instagram","1"
"Affiliate Marketing Trainee","CareerBoost Academy","Exciting opportunity to earn ₹75,000 per month from home! Just pay a one-time registration fee of ₹3,000 to get started. No experience or interview required. Start earning immediately after payment confirmation.","₹75,000/month","Basic English knowledge","Facebook Messenger","1"
"Mobile App Developer Intern","Paytm","We are looking for a Mobile App Developer Intern to work on data analysis and visualization projects. You will use MATLAB and Spring Boot to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 4 months.","₹12,000/month","Engineering student with knowledge of MATLAB, Spring Boot. Available for full-time internship of 3-6 months.","Apply through campus placement cell","0"
"Technical Writer Intern","HCL Technologies","As a Technical Writer Intern at HCL Technologies, you will work on building scalable solutions using Django and HTML/CSS. This is a 4-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹18,000/month","Pursuing B.Tech/BCA/MCA in Electronics. Hands-on experience with Django and HTML/CSS. Strong analytical thinking.","LinkedIn application","0"
"Quality Assurance Intern","Accenture India","We are hiring a Quality Assurance Intern for our Chennai office. The role involves working on digital marketing campaigns using Java, Photoshop, and REST APIs. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹20,000/month","B.Tech/M.Tech student in Information Technology with knowledge of Java, Photoshop, and REST APIs. CGPA 7.0 or above preferred.","Apply on AngelList","0"
"Quality Assurance Intern","Morgan Stanley India","We are hiring a Quality Assurance Intern for our Hybrid (Mumbai) office. The role involves working on HR operations using Go, Java, and Power BI. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹18,000/month","Currently pursuing B.Tech/B.E. in Computer Science. Proficiency in Go and Java. Good problem-solving skills.","Apply via Naukri.com","0"
"Machine Learning Intern","DRDO","We are seeking a Machine Learning Intern for a 2-month internship in our Pune office. You will assist in payment processing, prepare reports, and support the team with day-to-day operations. Strong communication and analytical skills required.","₹22,000/month","Currently pursuing B.Tech/B.E. in Mathematics. Proficiency in Rust and HTML/CSS. Good problem-solving skills.","Apply on LinkedIn Jobs","0"
"Referral Program Coordinator","EarnMore India","Work from home opportunity! Earn ₹80,000/month doing simple copy-paste tasks. One-time processing fee of ₹5,000 applicable. 100% genuine opportunity with money-back guarantee.","₹80,000/month","Freshers only","Telegram channel","1"
"Embedded Systems Intern","Tata Steel","We are hiring a Embedded Systems Intern for our Gurgaon office. The role involves working on autonomous systems using Illustrator, Airflow, and React. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹7,000/month","B.Tech/M.Tech student in MBA with knowledge of Illustrator, Airflow, and React. CGPA 7.0 or above preferred.","Apply on AngelList","0"
"UI/UX Design Intern","KPMG India","Seeking a UI/UX Design Intern for a 4-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with Vue.js and Redis in a fast-paced environment.","₹20,000/month","Pursuing B.Tech/BCA/MCA in MBA. Hands-on experience with Vue.js and Redis. Strong analytical thinking.","Apply through campus placement cell","0"
"Data Science Intern","Unacademy","As a Data Science Intern at Unacademy, you will work on building scalable solutions using Hadoop and Spark. This is a 2-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹18,000/month","Final year or pre-final year student in Information Technology. Must know Hadoop and Spark. Excellent communication skills required.","careers@company.com","0"
"Technical Writer Intern","Morgan Stanley India","Join us as a Technical Writer Intern and help build machine learning models for digital marketing campaigns. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with React, Kubernetes, and deep learning frameworks is a plus.","₹20,000/month","Any degree with strong aptitude for React and Kubernetes. Portfolio or GitHub profile with relevant projects is a plus.","LinkedIn application","0"
"Social Media Promoter","Universal Staffing Hub","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹30,000/month credited directly to your account.","₹30,000/month","Must have UPI or bank account","Personal Gmail","1"
"Embedded Systems Intern","Unacademy","We are looking for a motivated Embedded Systems Intern to join our engineering team for a 2-month internship. You will work on customer experience projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in Adobe XD and Node.js are expected.","₹10,000/month","Pursuing B.Tech/BCA/MCA in Commerce. Hands-on experience with Adobe XD and Node.js. Strong analytical thinking.","recruitment@company.com","0"
"Robotics Intern","Siemens India","Looking for a Robotics Intern to support our Operations team. The intern will help with HR operations, coordinate with internal teams, and contribute to process improvements. Duration: 6 months with a monthly stipend.","₹5,000/month","Final year or pre-final year student in Mechanical Engineering. Must know Power BI and SQL. Excellent communication skills required.","Apply on LinkedIn Jobs","0"
"Software Engineering Intern","Nykaa","Join us as a Software Engineering Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on fintech solutions. Proficiency in TypeScript and Django is essential. Duration: 2 months.","₹15,000/month","Engineering student with knowledge of TypeScript, Django. Available for full-time internship of 3-6 months.","Apply on LinkedIn Jobs","0"
"Database Administrator Intern","Groww","We have an opening for a Database Administrator Intern in our R&D division. You will work on cutting-edge fraud detection projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Java and Sketch required.","₹20,000/month","B.Tech/M.Tech student in Information Technology with knowledge of Java, Sketch, and Node.js. CGPA 7.0 or above preferred.","Apply via Naukri.com","0"
"Robotics Intern","Razorpay","We are looking for a Robotics Intern to work on data analysis and visualization projects. You will use Tableau and Django to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 6 months.","₹15,000/month","Engineering student with knowledge of Tableau, Django. Available for full-time internship of 3-6 months.","Apply via Naukri.com","0"
"Social Media Promoter","EarnMore India","Great opportunity for students! Earn ₹75,000/month. Work is simple and can be done on mobile phone. Pay ₹500 to join. We have placed 10000+ students in top companies.","₹75,000/month","Anyone can apply","Personal Gmail","1"
"Quantitative Research Intern","IIT Bombay Research Lab","We are hiring a Quantitative Research Intern for our Delhi NCR office. The role involves working on brand strategy using HTML/CSS, React Native, and Photoshop. You'll collaborate with cross-functional teams and present your work to stakeholders at the end of the internship.","₹8,000/month","Pursuing B.Tech/BCA/MCA in Statistics. Hands-on experience with HTML/CSS and React Native. Strong analytical thinking.","recruitment@company.com","0"
"Cybersecurity Intern","ISRO","We are hiring a Cybersecurity Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using C++ and Python. A strong portfolio demonstrating your design thinking process is required.","₹11,000/month","B.Sc/M.Sc in Commerce. Research experience in C++ is preferred. Strong written and verbal communication.","talent@company.com","0"
"UI/UX Design Intern","Microsoft India","Looking for a UI/UX Design Intern to support our Analytics team. The intern will help with logistics and supply chain, coordinate with internal teams, and contribute to process improvements. Duration: 2 months with a monthly stipend.","₹8,000/month","Currently pursuing B.Tech/B.E. in Computer Science. Proficiency in React Native and Sketch. Good problem-solving skills.","careers@company.com","0"
"Affiliate Marketing Trainee","TrustHire India","Earn ₹40,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹199 for platform access and start earning today.","₹40,000/month","No qualification required","Send DM on Instagram","1"
"Instagram Influencer Intern","QuickHire Consultancy","Join our team and earn ₹80,000 monthly! Pay ₹2,500 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹80,000/month","Age 16 and above","WhatsApp only","1"
"Quick Money Online Intern","ProStart Global","Make ₹50,000/month with our automated earning system! Simply install our app, complete daily tasks, and withdraw earnings instantly. Registration fee ₹2,500 applicable.","₹50,000/month","Must be willing to pay registration fee","WhatsApp only","1"
"Paid Review Writer","FastTrack Careers","Join our network marketing internship! Earn ₹80,000/month by recruiting 5 people. Each referral earns you ₹500 bonus. Build your own team and earn unlimited passive income!","₹80,000/month","Age 16 and above","Personal Gmail","1"
"Instant Hiring – No Interview","QuickHire Consultancy","URGENT: Last 3 seats remaining for our internship program! Stipend ₹30,000/month. Registration closes in 24 hours. Pay ₹500 now to confirm your spot. Don't think – just apply!","₹30,000/month","Age 16 and above","SMS only","1"
"Crypto Trading Intern","TrustHire India","We are a leading company looking for interns. Good pay of ₹60,000/month. Easy work. Apply now by sending ₹299 to our UPI. We will contact you with details after payment.","₹60,000/month","Ability to use WhatsApp","Telegram group","1"
"Supply Chain Intern","Freshworks","We are looking for a motivated Supply Chain Intern to join our engineering team for a 3-month internship. You will work on healthcare analytics projects, collaborate with senior engineers, and contribute to production codebases. Strong fundamentals in scikit-learn and Angular are expected.","₹12,000/month","Any degree with strong aptitude for scikit-learn and Angular. Portfolio or GitHub profile with relevant projects is a plus.","recruitment@company.com","0"
"Instant Hiring – No Interview","MoneyPlus Digital","Great opportunity for students! Earn ₹30,000/month. Work is simple and can be done on mobile phone. Pay ₹1,999 to join. We have placed 10000+ students in top companies.","₹30,000/month","Must have UPI or bank account","Call on personal mobile","1"
"Part-Time SMS Sending Job","Universal Staffing Hub","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹30,000/month.","₹30,000/month","Ability to use WhatsApp","WhatsApp group link","1"
"Instagram Influencer Intern","GoldenGate Careers","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹40,000/month. No fixed salary but unlimited potential!","₹40,000/month","Anyone can apply","Personal Gmail","1"
"Paid Review Writer","NextGen Opportunities","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹45,000/month credited directly to your account.","₹45,000/month","Just need a smartphone","Telegram channel","1"
"Survey Filling Executive","QuickHire Consultancy","Work from anywhere in the world and earn ₹40,000/month. We provide all equipment and training. Just pay ₹299 for shipping of your work kit. Start within 48 hours of payment.","₹40,000/month","Ability to use WhatsApp","Personal Gmail","1"
"Online Reselling Business Intern","RapidGrowth Inc","We are a leading company looking for interns. Good pay of ₹30,000/month. Easy work. Apply now by sending ₹2,500 to our UPI. We will contact you with details after payment.","₹30,000/month","Basic English knowledge","SMS only","1"
"WhatsApp Marketing Intern","RapidGrowth Inc","Exciting opportunity to earn ₹50,000 per month from home! Just pay a one-time registration fee of ₹3,000 to get started. No experience or interview required. Start earning immediately after payment confirmation.","₹50,000/month","Basic English knowledge","Telegram channel","1"
"Quick Money Online Intern","EarnMore India","Join our team and earn ₹50,000 monthly! Pay ₹299 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹50,000/month","Age 16 and above","WhatsApp group link","1"
"Database Administrator Intern","Cisco India","As a Database Administrator Intern at Cisco India, you will work on building scalable solutions using JavaScript and PyTorch. This is a 3-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹7,000/month","B.Tech/M.Tech student in Mechanical Engineering with knowledge of JavaScript, PyTorch, and MongoDB. CGPA 7.0 or above preferred.","Company official website","0"
"Social Media Promoter","TrustHire India","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹999 to join. We have placed 10000+ students in top companies.","₹45,000/month","Age 16 and above","Personal Gmail","1"
"IoT Intern","Ola","Join us as a IoT Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on developer tools. Proficiency in Flutter and PostgreSQL is essential. Duration: 6 months.","₹18,000/month","Pursuing B.Tech/BCA/MCA in Data Science. Hands-on experience with Flutter and PostgreSQL. Strong analytical thinking.","hiring@company.com","0"
"Financial Analyst Intern","Unacademy","Looking for a Financial Analyst Intern to support our Data Science team. The intern will help with cloud infrastructure, coordinate with internal teams, and contribute to process improvements. Duration: 6 months with a monthly stipend.","₹15,000/month","Final year or pre-final year student in Design. Must know Photoshop and JavaScript. Excellent communication skills required.","Apply through campus placement cell","0"
"Online Reselling Business Intern","TrustHire India","URGENT: Last 3 seats remaining for our internship program! Stipend ₹50,000/month. Registration closes in 24 hours. Pay ₹1,999 now to confirm your spot. Don't think – just apply!","₹50,000/month","No qualification required","WhatsApp group link","1"
"Graphic Design Intern","ISRO","We are hiring a Graphic Design Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Flutter and Power BI. A strong portfolio demonstrating your design thinking process is required.","₹8,000/month","Engineering student with knowledge of Flutter, Power BI. Available for full-time internship of 3-6 months.","Apply via company careers portal","0"
"Network Marketing Associate","FastTrack Careers","We are hiring freshers for data entry work. Earn up to ₹100,000/month with just 2 hours of daily work. A refundable security deposit of ₹1,999 is required. Guaranteed income with no risk involved.","₹100,000/month","Must be willing to pay registration fee","WhatsApp/Telegram","1"
"UI/UX Design Intern","PwC India","We are looking for a UI/UX Design Intern to work on data analysis and visualization projects. You will use Redis and Git to extract insights from large datasets. Experience with SQL and statistical methods is preferred. Duration: 6 months.","₹18,000/month","Final year or pre-final year student in Computer Science. Must know Redis and Git. Excellent communication skills required.","Apply on Internshala","0"
"Online Data Entry Operator","ProStart Global","Exciting MLM business internship! Invest ₹199 and start earning through our multi-level referral program. Top earners make ₹40,000/month. Be your own boss!","₹40,000/month","Age 16 and above","Telegram channel","1"
"Embedded Systems Intern","Siemens India","Join our team as a Embedded Systems Intern. You will work closely with the Business Development team on projects involving inventory management. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹22,000/month","B.Tech/M.Tech student in MBA with knowledge of Figma, PostgreSQL, and Spring Boot. CGPA 7.0 or above preferred.","Apply on Internshala","0"
"Quantitative Research Intern","PhonePe","Join our Engineering team as a Quantitative Research Intern. During this 3-month internship, you will design, develop, and test features for our customer-facing dashboard. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹5,000/month","Graduate or postgraduate in Mass Communication. Experience with AWS preferred. Ability to work in a team and meet deadlines.","recruitment@company.com","0"
"Work From Home – Typing Job","BrightFuture Placements","Work from anywhere in the world and earn ₹75,000/month. We provide all equipment and training. Just pay ₹5,000 for shipping of your work kit. Start within 48 hours of payment.","₹75,000/month","Basic English knowledge","Facebook Messenger","1"
"Survey Filling Executive","DreamJob Services","We are a leading company looking for interns. Good pay of ₹100,000/month. Easy work. Apply now by sending ₹5,000 to our UPI. We will contact you with details after payment.","₹100,000/month","No qualification required","WhatsApp only","1"
"Business Analyst Intern","Zerodha","Join us as a Business Analyst Intern and help build machine learning models for enterprise SaaS. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Linux, Django, and deep learning frameworks is a plus.","₹10,000/month","Graduate or postgraduate in Mass Communication. Experience with Linux preferred. Ability to work in a team and meet deadlines.","hiring@company.com","0"
"Telegram Channel Manager","PrimePath Consulting","Join our network marketing internship! Earn ₹30,000/month by recruiting 5 people. Each referral earns you ₹500 bonus. Build your own team and earn unlimited passive income!","₹30,000/month","Ability to use WhatsApp","Send DM on Instagram","1"
"Embedded Systems Intern","Zerodha","We have an opening for a Embedded Systems Intern in our R&D division. You will work on cutting-edge risk assessment projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Spring Boot and Java required.","₹7,000/month","Pursuing B.Tech/BCA/MCA in Mechanical Engineering. Hands-on experience with Spring Boot and Java. Strong analytical thinking.","hr@company.com","0"
"Content Writing Intern","Infosys","As a Content Writing Intern at Infosys, you will work on building scalable solutions using Swift and REST APIs. This is a 3-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹25,000/month","B.Tech/M.Tech student in MBA with knowledge of Swift, REST APIs, and GCP. CGPA 7.0 or above preferred.","Apply on AngelList","0"
"Operations Intern","Amazon India","Exciting internship opportunity as a Operations Intern! Work on IoT platforms with our research team. You will develop prototypes, analyze results, and present findings. This 3-month program is ideal for students passionate about innovation.","₹22,000/month","Final year or pre-final year student in Computer Science. Must know Figma and JavaScript. Excellent communication skills required.","hiring@company.com","0"
"Survey Filling Executive","Universal Staffing Hub","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹80,000/month.","₹80,000/month","Must have UPI or bank account","SMS only","1"
"YouTube Channel Growth Intern","SkillBridge Academy","Great opportunity for students! Earn ₹45,000/month. Work is simple and can be done on mobile phone. Pay ₹1,500 to join. We have placed 10000+ students in top companies.","₹45,000/month","Anyone can apply","SMS only","1"
"Database Administrator Intern","IIT Bombay Research Lab","Join us as a Database Administrator Intern and contribute to creating compelling visual content for our brand. You will work with the marketing and product teams on real-time data pipelines. Proficiency in JavaScript and Kubernetes is essential. Duration: 3 months.","₹25,000/month","Pursuing B.Tech/BCA/MCA in Commerce. Hands-on experience with JavaScript and Kubernetes. Strong analytical thinking.","Apply on Internshala","0"
"Supply Chain Intern","Goldman Sachs India","We are hiring a Supply Chain Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using Kafka and Hadoop. A strong portfolio demonstrating your design thinking process is required.","₹15,000/month","Engineering student with knowledge of Kafka, Hadoop. Available for full-time internship of 3-6 months.","Apply through campus placement cell","0"
"Blockchain Developer Intern","Flipkart","Seeking a Blockchain Developer Intern for a 3-month internship. Responsibilities include developing features, writing unit tests, and documenting technical specifications. You will gain hands-on experience with React Native and Python in a fast-paced environment.","₹22,000/month","Pursuing B.Tech/BCA/MCA in Information Technology. Hands-on experience with React Native and Python. Strong analytical thinking.","Apply via company careers portal","0"
"Work From Home – Typing Job","EarnMore India","Congratulations! You've been selected for our premium internship. Share your personal documents including Aadhaar, PAN, and passport photo via WhatsApp for immediate joining. Earn ₹45,000/month.","₹45,000/month","Ability to use WhatsApp","Send DM on Instagram","1"
"Marketing Analytics Intern","Meesho","Looking for a Marketing Analytics Intern to support our Analytics team. The intern will help with digital marketing campaigns, coordinate with internal teams, and contribute to process improvements. Duration: 3 months with a monthly stipend.","₹14,000/month","Graduate or postgraduate in Statistics. Experience with MATLAB preferred. Ability to work in a team and meet deadlines.","recruitment@company.com","0"
"Cybersecurity Intern","Reliance Jio","As a Cybersecurity Intern at Reliance Jio, you will work on building scalable solutions using GraphQL and Rust. This is a 3-month program with mentorship from industry experts. Top performers may receive a pre-placement offer.","₹22,000/month","B.Tech/M.Tech student in Mass Communication with knowledge of GraphQL, Rust, and Flutter. CGPA 7.0 or above preferred.","hr@company.com","0"
"Human Resources Intern","Uber India","Join us as a Human Resources Intern and help build machine learning models for talent acquisition. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Kubernetes, Figma, and deep learning frameworks is a plus.","₹11,000/month","B.Tech/M.Tech student in Information Technology with knowledge of Kubernetes, Figma, and MATLAB. CGPA 7.0 or above preferred.","recruitment@company.com","0"
"Paid Review Writer","SmartEarn Technologies","Urgent hiring for online typing jobs! Salary ₹75,000/month. Small registration fee of ₹500 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹75,000/month","Age 16 and above","Call on personal mobile","1"
"Backend Developer Intern","HCL Technologies","Join us as a Backend Developer Intern and help build machine learning models for cloud infrastructure. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with HTML/CSS, Angular, and deep learning frameworks is a plus.","₹11,000/month","Pursuing B.Tech/BCA/MCA in Information Technology. Hands-on experience with HTML/CSS and Angular. Strong analytical thinking.","Apply through campus placement cell","0"
"YouTube Channel Growth Intern","CareerBoost Academy","We are a leading company looking for interns. Good pay of ₹50,000/month. Easy work. Apply now by sending ₹2,500 to our UPI. We will contact you with details after payment.","₹50,000/month","Must have UPI or bank account","WhatsApp group link","1"
"UI/UX Design Intern","Zoho","We have an opening for a UI/UX Design Intern in our R&D division. You will work on cutting-edge computer vision projects, conduct literature reviews, run experiments, and contribute to research publications. Strong background in Tableau and Pandas required.","₹12,000/month","Any degree with strong aptitude for Tableau and Pandas. Portfolio or GitHub profile with relevant projects is a plus.","Apply through campus placement cell","0"
"Digital Marketing Intern – Earn ₹1 Lakh/Month","Universal Staffing Hub","We are hiring freshers for data entry work. Earn up to ₹75,000/month with just 2 hours of daily work. A refundable security deposit of ₹5,000 is required. Guaranteed income with no risk involved.","₹75,000/month","Must have UPI or bank account","Telegram group","1"
"Easy Copy-Paste Job","DreamJob Services","Urgent hiring for online typing jobs! Salary ₹30,000/month. Small registration fee of ₹2,500 to cover admin costs. Thousands of students already earning. Don't miss this chance!","₹30,000/month","No qualification required","Call on personal mobile","1"
"IoT Intern","Swiggy","Looking for a IoT Intern to support our Marketing team. The intern will help with healthcare analytics, coordinate with internal teams, and contribute to process improvements. Duration: 6 months with a monthly stipend.","₹16,000/month","Engineering student with knowledge of AWS, C++. Available for full-time internship of 3-6 months.","Apply via company careers portal","0"
"Easy Copy-Paste Job","ClickEarn Solutions","We are a leading company looking for interns. Good pay of ₹50,000/month. Easy work. Apply now by sending ₹3,000 to our UPI. We will contact you with details after payment.","₹50,000/month","No skills required – training provided","SMS only","1"
"Marketing Analytics Intern","MakeMyTrip","Join our Research team as a Marketing Analytics Intern. During this 6-month internship, you will design, develop, and test features for our analytics platform. You will participate in code reviews, sprint planning, and gain exposure to agile development practices.","₹7,000/month","B.Tech/M.Tech student in MBA with knowledge of R, Azure, and Docker. CGPA 7.0 or above preferred.","Apply on Internshala","0"
"WhatsApp Marketing Intern","TrustHire India","Exciting opportunity to earn ₹100,000 per month from home! Just pay a one-time registration fee of ₹199 to get started. No experience or interview required. Start earning immediately after payment confirmation.","₹100,000/month","Smartphone with internet connection","SMS only","1"
"Cybersecurity Intern","Dunzo","Join us as a Cybersecurity Intern and help build machine learning models for computer vision. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Java, SQL, and deep learning frameworks is a plus.","₹14,000/month","Any degree with strong aptitude for Java and SQL. Portfolio or GitHub profile with relevant projects is a plus.","recruitment@company.com","0"
"Referral Program Coordinator","EarnMore India","Become a digital marketing intern! Your job is to promote our products on social media and recruit more interns. Commission-based earning up to ₹100,000/month. No fixed salary but unlimited potential!","₹100,000/month","No qualification required","Call on personal mobile","1"
"Blockchain Developer Intern","Accenture India","We are hiring a Blockchain Developer Intern for our design team. You will create user interfaces, conduct user research, and build interactive prototypes using C++ and Illustrator. A strong portfolio demonstrating your design thinking process is required.","₹9,000/month","Engineering student with knowledge of C++, Illustrator. Available for full-time internship of 3-6 months.","University placement portal","0"
"Survey Filling Executive","MegaSuccess Corp","Make ₹50,000/month with our automated earning system! Simply install our app, complete daily tasks, and withdraw earnings instantly. Registration fee ₹5,000 applicable.","₹50,000/month","Must be willing to pay registration fee","SMS only","1"
"Guaranteed Placement Intern","DreamJob Services","Apply now for an exclusive internship program! Fill the Google Form with your Aadhaar number, PAN card, and bank details for verification. Stipend of ₹60,000/month credited directly to your account.","₹60,000/month","Age 16 and above","Telegram channel","1"
"Social Media Promoter","SkillBridge Academy","Hiring interns for social media work. Stipend ₹50,000/month. To reserve your seat, pay ₹199 enrollment fee via UPI. Limited spots available – hurry up!","₹50,000/month","Freshers only","WhatsApp/Telegram","1"
"Telegram Channel Manager","ZenithPlacement Services","Earn ₹80,000 per month working just 1 hour daily! Our AI-powered platform assigns tasks automatically. No skills required. Pay ₹2,500 for platform access and start earning today.","₹80,000/month","Basic English knowledge","Call on personal mobile","1"
"Cloud Engineering Intern","upGrad","Join us as a Cloud Engineering Intern and help build machine learning models for digital marketing campaigns. You will preprocess data, train models, evaluate performance, and deploy solutions. Familiarity with Power BI, Docker, and deep learning frameworks is a plus.","₹22,000/month","Any degree with strong aptitude for Power BI and Docker. Portfolio or GitHub profile with relevant projects is a plus.","recruitment@company.com","0"
"Supply Chain Intern","Zomato","Join our team as a Supply Chain Intern. You will work closely with the Product team on projects involving computer vision. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹25,000/month","Final year or pre-final year student in Mechanical Engineering. Must know C++ and Flask. Excellent communication skills required.","careers@company.com","0"
"Network Marketing Associate","DreamJob Services","Join our team and earn ₹45,000 monthly! Pay ₹3,000 registration fee and start working today. No skills needed, training provided free. This offer is valid for limited seats only – apply now!","₹45,000/month","Must have UPI or bank account","Telegram channel","1"
"Survey Filling Executive","TrustHire India","Internship available. Work from home. Earn well. Contact us on WhatsApp for more details. Stipend ₹45,000/month. Small fee of ₹299 for registration. Hurry, spots filling fast!","₹45,000/month","Must have UPI or bank account","Telegram group","1"
"Frontend Developer Intern","Cisco India","Join our team as a Frontend Developer Intern. You will work closely with the Strategy team on projects involving fraud detection. Responsibilities include market research, data analysis, and creating presentations for senior leadership.","₹9,000/month","Any degree with strong aptitude for Java and Rust. Portfolio or GitHub profile with relevant projects is a plus.","Apply on Internshala","0"
"YouTube Channel Growth Intern","EliteHire Solutions","Work from home opportunity! Earn ₹40,000/month doing simple copy-paste tasks. One-time processing fee of ₹3,000 applicable. 100% genuine opportunity with money-back guarantee.","₹40,000/month","Smartphone with internet connection","Facebook Messenger","1"
"Cloud Engineering Intern","Tech Mahindra","As a Cloud Engineering Intern, you will analyze business data using MATLAB and AWS, create dashboards, and present findings to the management team. This is a 6-month internship with exposure to real-world business problems.","₹16,000/month","Pursuing B.Tech/BCA/MCA in Electrical Engineering. Hands-on experience with MATLAB and AWS. Strong analytical thinking.","Apply through campus placement cell","0"
